height_score,player_x,player_y,nearest_plat_x,nearest_plat_y
115,161,-5381,92,-5327
115,149,-5399,92,-5327
115,138,-5416,92,-5327
115,128,-5432,92,-5327
115,119,-5447,92,-5327
116,121,-5461,92,-5327
116,124,-5474,42,-5586
116,127,-5486,42,-5586
116,131,-5497,42,-5586
116,135,-5507,42,-5586
117,140,-5516,42,-5586
117,144,-5524,42,-5586
117,147,-5531,42,-5586
117,149,-5537,42,-5586
118,150,-5542,42,-5586
118,150,-5546,42,-5586
118,150,-5549,42,-5586
118,150,-5551,42,-5586
118,150,-5552,42,-5586
118,150,-5552,42,-5586
118,150,-5551,42,-5586
118,150,-5549,42,-5586
118,150,-5546,42,-5586
118,150,-5542,42,-5586
118,150,-5538,42,-5586
118,150,-5533,42,-5586
118,150,-5527,42,-5586
118,150,-5520,42,-5586
119,150,-5512,42,-5586
119,150,-5503,42,-5586
119,150,-5493,42,-5586
119,150,-5482,42,-5586
119,150,-5470,92,-5327
119,150,-5457,92,-5327
119,150,-5443,92,-5327
119,150,-5428,92,-5327
119,150,-5412,92,-5327
119,150,-5395,92,-5327
119,150,-5377,92,-5327
119,150,-5362,92,-5327
119,150,-5381,92,-5327
119,150,-5399,92,-5327
119,150,-5416,92,-5327
119,150,-5432,92,-5327
119,150,-5447,92,-5327
119,150,-5461,92,-5327
119,150,-5474,42,-5586
119,150,-5486,42,-5586
119,150,-5497,42,-5586
119,150,-5507,42,-5586
119,150,-5516,42,-5586
119,150,-5524,42,-5586
119,150,-5531,42,-5586
119,150,-5537,42,-5586
119,150,-5542,42,-5586
119,150,-5546,42,-5586
119,150,-5549,42,-5586
119,150,-5551,42,-5586
119,150,-5552,42,-5586
119,150,-5552,42,-5586
119,150,-5551,42,-5586
119,150,-5549,42,-5586
119,150,-5546,42,-5586
119,150,-5542,42,-5586
119,150,-5538,42,-5586
119,150,-5533,42,-5586
119,150,-5527,42,-5586
119,150,-5520,42,-5586
119,150,-5512,42,-5586
119,150,-5503,42,-5586
119,150,-5493,42,-5586
119,148,-5482,42,-5586
119,146,-5470,92,-5327
119,143,-5457,92,-5327
119,140,-5443,92,-5327
119,136,-5428,92,-5327
119,132,-5412,92,-5327
119,128,-5395,92,-5327
119,125,-5377,92,-5327
119,123,-5362,92,-5327
119,122,-5381,92,-5327
119,122,-5399,92,-5327
119,122,-5416,92,-5327
119,122,-5432,92,-5327
119,122,-5447,92,-5327
119,122,-5461,92,-5327
119,122,-5474,42,-5586
119,122,-5486,42,-5586
119,122,-5497,42,-5586
119,122,-5507,42,-5586
119,122,-5516,42,-5586
119,122,-5524,42,-5586
119,122,-5531,42,-5586
119,122,-5537,42,-5586
119,122,-5542,42,-5586
119,122,-5546,42,-5586
119,122,-5549,42,-5586
119,122,-5551,42,-5586
119,120,-5552,42,-5586
119,118,-5552,42,-5586
119,115,-5551,42,-5586
119,112,-5549,42,-5586
119,108,-5546,42,-5586
119,104,-5542,42,-5586
119,100,-5538,42,-5586
119,97,-5533,42,-5586
119,95,-5527,42,-5586
119,94,-5520,42,-5586
119,94,-5512,42,-5586
119,94,-5503,42,-5586
119,94,-5493,42,-5586
119,94,-5482,42,-5586
119,94,-5470,42,-5586
119,94,-5457,92,-5327
119,94,-5443,92,-5327
119,94,-5428,92,-5327
119,94,-5412,92,-5327
119,94,-5395,92,-5327
119,94,-5377,92,-5327
119,94,-5362,92,-5327
119,94,-5381,92,-5327
119,94,-5399,92,-5327
119,94,-5416,92,-5327
119,94,-5432,92,-5327
119,94,-5447,92,-5327
119,94,-5461,92,-5327
119,94,-5474,42,-5586
119,94,-5486,42,-5586
119,94,-5497,42,-5586
119,94,-5507,42,-5586
119,94,-5516,42,-5586
119,94,-5524,42,-5586
119,94,-5531,42,-5586
119,94,-5537,42,-5586
119,94,-5542,42,-5586
119,94,-5546,42,-5586
119,94,-5549,42,-5586
119,94,-5551,42,-5586
119,94,-5552,42,-5586
119,94,-5552,42,-5586
119,94,-5551,42,-5586
119,94,-5549,42,-5586
119,94,-5546,42,-5586
119,94,-5542,42,-5586
119,94,-5538,42,-5586
119,94,-5533,42,-5586
119,94,-5527,42,-5586
119,94,-5520,42,-5586
119,94,-5512,42,-5586
119,94,-5503,42,-5586
119,94,-5493,42,-5586
119,94,-5482,42,-5586
119,94,-5470,42,-5586
119,94,-5457,92,-5327
119,94,-5443,92,-5327
119,92,-5428,92,-5327
119,90,-5412,92,-5327
119,87,-5395,92,-5327
119,84,-5377,92,-5327
119,80,-5362,92,-5327
119,76,-5381,92,-5327
119,71,-5399,92,-5327
119,66,-5416,92,-5327
119,60,-5432,92,-5327
119,54,-5447,92,-5327
119,47,-5461,42,-5586
119,40,-5474,42,-5586
119,32,-5486,42,-5586
119,24,-5497,42,-5586
119,15,-5507,42,-5586
119,6,-5516,42,-5586
119,571,-5524,408,-5518
119,561,-5531,408,-5518
119,550,-5537,408,-5518
119,539,-5542,408,-5518
119,527,-5546,408,-5518
119,515,-5549,408,-5518
119,502,-5551,408,-5518
119,489,-5552,408,-5518
119,475,-5552,408,-5518
119,461,-5553,386,-5639
119,447,-5572,386,-5639
119,434,-5590,386,-5639
119,422,-5607,386,-5639
119,411,-5623,386,-5639
119,401,-5638,386,-5639
119,392,-5652,386,-5639
120,384,-5665,386,-5639
120,377,-5677,386,-5639
120,371,-5688,386,-5639
120,366,-5698,386,-5639
121,362,-5707,386,-5639
121,359,-5715,386,-5639
121,357,-5722,386,-5639
121,356,-5728,386,-5639
121,356,-5733,386,-5639
122,356,-5737,386,-5639
122,356,-5740,386,-5639
122,356,-5742,386,-5639
122,356,-5743,386,-5639
122,358,-5743,386,-5639
122,361,-5742,386,-5639
122,364,-5740,386,-5639
122,368,-5737,386,-5639
122,372,-5733,386,-5639
122,377,-5729,386,-5639
122,382,-5724,386,-5639
122,388,-5718,386,-5639
122,394,-5711,386,-5639
122,401,-5703,386,-5639
122,408,-5694,386,-5639
122,416,-5684,386,-5639
122,424,-5674,386,-5639
122,433,-5693,386,-5639
122,441,-5711,386,-5639
122,448,-5728,386,-5639
122,454,-5744,386,-5639
122,459,-5759,386,-5639
122,463,-5773,386,-5639
123,466,-5786,386,-5639
123,468,-5798,386,-5639
123,469,-5809,386,-5639
123,469,-5819,386,-5639
123,469,-5828,386,-5639
123,469,-5836,386,-5639
124,469,-5843,386,-5639
124,469,-5849,386,-5639
124,469,-5854,386,-5639
124,467,-5858,386,-5639
124,465,-5861,386,-5639
124,462,-5863,386,-5639
124,460,-5864,386,-5639
124,459,-5864,386,-5639
125,459,-5863,386,-5639
125,459,-5861,386,-5639
125,459,-5858,386,-5639
125,459,-5854,386,-5639
125,459,-5850,386,-5639
125,459,-5845,386,-5639
125,459,-5839,386,-5639
125,459,-5832,386,-5639
125,459,-5824,386,-5639
125,459,-5815,386,-5639
125,459,-5805,386,-5639
125,459,-5794,386,-5639
125,459,-5782,386,-5639
125,459,-5769,386,-5639
125,459,-5755,386,-5639
125,459,-5740,386,-5639
125,459,-5724,386,-5639
125,459,-5707,386,-5639
